#,Date,LTP,% Change,High,Low,Open,Qty.,Turnover
1,2025/05/15,262.79,0.82,264.80,256.00,258.00,"96,366","25,034,091.10"
2,2025/05/14,260.65,-5.41,280.00,258.00,270.10,"128,356","34,202,889.60"
3,2025/05/13,275.55,1.01,278.20,269.00,278.20,"224,731","61,487,290.00"
4,2025/05/11,272.80,-4.52,294.40,271.70,281.00,"312,715","88,754,092.60"
5,2025/05/08,285.70,2.95,289.50,272.50,283.00,"300,705","85,189,466.90"
6,2025/05/07,277.52,2,280.00,268.90,276.00,"243,801","67,322,278.60"
7,2025/05/06,272.07,-3.68,279.90,270.00,276.90,"159,266","43,853,200.60"
8,2025/05/05,282.47,5.07,287.00,263.00,263.50,"148,762","40,412,886.30"
9,2025/05/04,268.83,1.9,272.00,264.00,269.00,"126,309","33,813,898.60"
10,2025/04/30,263.81,-1.61,272.30,262.10,264.20,"241,540","64,622,066.40"
11,2025/04/29,268.14,-4.59,284.00,263.00,275.50,"224,238","61,594,983.60"
12,2025/04/28,281.04,-0.12,287.10,275.50,276.00,"229,764","64,389,125.80"
13,2025/04/27,281.38,3.64,282.20,266.20,266.20,"306,366","85,261,311.30"
14,2025/04/24,271.51,0.14,273.00,262.10,265.70,"123,948","33,259,050.40"
15,2025/04/23,271.12,-0.54,276.10,263.10,273.00,"225,368","60,858,219.80"
16,2025/04/22,272.60,5.3,278.00,262.90,264.00,"291,016","79,134,601.80"
17,2025/04/21,258.89,6.26,267.30,240.00,240.00,"175,145","44,734,990.80"
18,2025/04/20,243.64,-2.77,252.00,241.50,250.90,"32,088","7,929,077.50"
19,2025/04/17,250.57,1.28,253.80,246.00,247.00,"58,754","14,723,279.00"
20,2025/04/16,247.41,2.52,253.90,238.10,238.10,"42,619","10,376,276.20"
21,2025/04/15,241.32,2.01,243.00,236.00,237.00,"27,537","6,614,652.00"
22,2025/04/13,236.57,-0.39,239.00,235.10,237.50,"15,795","3,747,368.10"
23,2025/04/10,237.50,0.2,243.10,234.40,234.40,"19,681","4,709,035.00"
24,2025/04/09,237.02,0.13,241.00,235.00,237.00,"26,657","6,340,658.80"
25,2025/04/08,236.72,-0.38,239.90,230.10,238.00,"46,843","10,945,557.90"
26,2025/04/07,237.63,-0.75,240.20,237.00,240.20,"15,125","3,601,119.70"
27,2025/04/03,239.42,-0.6,247.10,236.20,241.10,"57,977","13,965,455.70"
28,2025/04/02,240.87,-0.7,247.90,239.40,239.40,"35,335","8,587,001.10"
