#,Date,LTP,% Change,High,Low,Open,Qty.,Turnover
1,2025/05/15,"1,615.88",-0.25,"1,630.00","1,615.00","1,630.00",865,"1,401,899.60"
2,2025/05/14,"1,620.00",-1.2,"1,637.90","1,613.00","1,613.00","1,162","1,883,838.40"
3,2025/05/13,"1,639.61",0.42,"1,650.00","1,617.00","1,617.00",834,"1,362,361.50"
4,2025/05/11,"1,632.80",-3.46,"1,680.00","1,626.80","1,666.90","3,370","5,557,564.00"
5,2025/05/08,"1,691.37",-0.32,"1,710.00","1,685.00","1,700.00",643,"1,091,554.00"
6,2025/05/07,"1,696.88",1.3,"1,699.80","1,635.00","1,661.00","1,413","2,341,861.00"
7,2025/05/06,"1,675.10",-0.88,"1,689.00","1,670.10","1,680.00",346,"580,443.00"
8,2025/05/05,"1,689.90",0.95,"1,700.00","1,661.10","1,690.00",409,"687,407.50"
9,2025/05/04,"1,674.04",-0.69,"1,735.00","1,668.00","1,668.00","1,133","1,903,641.00"
10,2025/04/30,"1,685.60",-1.7,"1,748.90","1,671.00","1,748.90","1,269","2,167,346.50"
11,2025/04/29,"1,714.83",-0.88,"1,719.90","1,710.00","1,710.10",701,"1,201,359.50"
12,2025/04/28,"1,730.00",-1.54,"1,757.00","1,720.00","1,757.00","2,307","3,979,565.30"
13,2025/04/27,"1,757.00",1.54,"1,763.70","1,730.00","1,763.70",920,"1,610,174.10"
14,2025/04/24,"1,730.27",-2.96,"1,808.00","1,730.00","1,780.00","3,736","6,544,144.00"
15,2025/04/23,"1,783.00",-0.5,"1,791.90","1,777.10","1,791.90",419,"747,617.00"
16,2025/04/22,"1,791.88",0.13,"1,819.00","1,775.30","1,790.10","1,983","3,566,200.50"
17,2025/04/21,"1,789.55",-1.03,"1,810.00","1,787.20","1,810.00","1,250","2,249,888.00"
18,2025/04/20,"1,808.26",-1.46,"1,819.00","1,801.00","1,801.00",440,"795,877.00"
19,2025/04/17,"1,835.14",2.52,"1,860.00","1,781.10","1,790.00",916,"1,663,310.00"
20,2025/04/16,"1,790.02",0,"1,825.80","1,775.00","1,825.80","1,349","2,416,756.00"
21,2025/04/15,"1,790.00",-0.1,"1,825.00","1,788.60","1,825.00",270,"488,634.00"
22,2025/04/13,"1,791.78",-1.54,"1,800.00","1,786.00","1,786.10",855,"1,528,431.00"
23,2025/04/10,"1,819.75",2.16,"1,820.00","1,760.10","1,781.00","1,592","2,867,300.70"
24,2025/04/09,"1,781.36",0.04,"1,849.90","1,772.00","1,816.00",396,"709,709.90"
25,2025/04/08,"1,780.70",-0.91,"1,790.00","1,761.10","1,761.10",160,"283,828.00"
26,2025/04/07,"1,797.04",-1.85,"1,810.00","1,796.10","1,796.10",655,"1,178,007.00"
27,2025/04/03,"1,830.92",-0.9,"1,842.00","1,810.70","1,840.00","1,876","3,412,651.90"
28,2025/04/02,"1,847.60",0.96,"1,848.00","1,820.10","1,820.10",200,"365,927.50"
29,2025/04/01,"1,830.04",-1.29,"1,868.00","1,818.00","1,818.00","1,101","2,012,566.50"
30,2025/03/30,"1,854.00",-0.16,"1,894.00","1,825.00","1,825.00","1,237","2,320,746.00"
31,2025/03/27,"1,857.04",2.72,"1,877.00","1,809.00","1,810.00","1,570","2,883,269.00"
32,2025/03/26,"1,807.85",3.1,"1,879.30","1,721.00","1,721.00","1,126","2,045,644.50"
33,2025/03/25,"1,753.44",-1.67,"1,812.90","1,748.00","1,812.90",909,"1,605,007.10"
34,2025/03/24,"1,783.22",0.04,"1,790.00","1,755.00","1,790.00","1,360","2,411,811.80"
35,2025/03/23,"1,782.50",-3,"1,837.90","1,770.00","1,805.00","2,802","5,036,249.40"
36,2025/03/20,"1,837.63",-0.35,"1,854.70","1,808.00","1,808.00","2,113","3,844,969.80"
37,2025/03/19,"1,844.00",-1.71,"1,875.00","1,818.00","1,875.00","3,103","5,682,250.20"
38,2025/03/18,"1,876.00",-1.1,"1,900.00","1,855.10","1,895.00","1,243","2,321,826.70"
39,2025/03/17,"1,896.90",-1.61,"1,940.00","1,850.00","1,928.00","3,327","6,271,201.90"
40,2025/03/16,"1,928.00",-2.63,"1,975.00","1,923.00","1,975.00","1,690","3,278,146.00"
41,2025/03/12,"1,980.00",-0.48,"2,067.00","1,950.00","1,950.00","2,936","5,863,610.00"
42,2025/03/11,"2,273.00",-6.69,"2,387.30","2,248.00","2,387.30","6,802","15,450,842.10"
43,2025/03/10,"2,436.00",9.98,"2,436.00","2,180.00","2,212.10","2,964","6,569,653.20"
44,2025/03/09,"2,215.00",-3.49,"2,275.00","2,210.30","2,250.00","5,506","12,306,351.20"
45,2025/03/06,"2,295.00",0.22,"2,305.00","2,250.00","2,258.70","2,960","6,704,251.10"
46,2025/03/05,"2,290.00",-0.43,"2,344.00","2,279.00","2,344.00","1,886","4,334,035.20"
47,2025/03/04,"2,300.00",-1.71,"2,384.00","2,295.10","2,384.00","3,636","8,438,001.10"
48,2025/03/03,"2,340.00",-0.81,"2,397.00","2,330.00","2,397.00","2,484","5,838,968.10"
49,2025/03/02,"2,359.00",0.13,"2,399.00","2,343.00","2,359.00","5,274","12,462,407.20"
50,2025/02/27,"2,356.00",1.55,"2,402.10","2,328.30","2,355.00","1,724","4,045,790.70"
51,2025/02/25,"2,320.00",-0.3,"2,370.00","2,306.00","2,370.00","2,019","4,685,816.00"
52,2025/02/24,"2,327.00",0.3,"2,410.00","2,274.00","2,365.00","1,995","4,625,438.50"
53,2025/02/23,"2,320.00",0.43,"2,332.00","2,264.00","2,264.00","2,137","4,937,764.20"
54,2025/02/20,"2,310.00",-1.41,"2,310.00","2,296.20","2,310.00","3,641","8,381,506.00"
55,2025/02/18,"2,343.00",-0.61,"2,389.90","2,300.00","2,356.00","3,643","8,512,895.00"
56,2025/02/17,"2,357.30",0.34,"2,366.60","2,321.00","2,349.90","3,482","8,182,971.40"
57,2025/02/16,"2,349.30",3.36,"2,349.30","2,230.00","2,230.00","3,618","8,326,776.50"
58,2025/02/13,"2,273.00",-2.03,"2,310.30","2,265.00","2,276.00","3,240","7,417,566.20"
59,2025/02/12,"2,320.00",-4.41,"2,470.00","2,299.00","2,391.20","13,517","31,587,758.80"
60,2025/02/11,"2,427.00",-0.32,"2,482.00","2,405.00","2,447.00","2,614","6,339,411.50"
61,2025/02/10,"2,434.90",-0.21,"2,446.00","2,420.00","2,420.00",938,"2,276,686.50"
62,2025/02/09,"2,440.00",-0.4,"2,489.00","2,407.00","2,407.00","3,203","7,827,827.10"
63,2025/02/06,"2,449.80",0.03,"2,478.80","2,406.00","2,478.00","3,990","9,731,058.50"
64,2025/02/05,"2,449.00",-1,"2,489.00","2,436.50","2,488.50","6,323","15,544,917.90"
65,2025/02/04,"2,473.70",-0.17,"2,477.00","2,442.00","2,477.00","3,611","8,873,232.30"
66,2025/02/03,"2,478.00",0.98,"2,522.00","2,405.20","2,405.20","5,671","14,062,322.70"
67,2025/02/02,"2,453.90",3.24,"2,453.90","2,377.00","2,400.00","7,235","17,582,151.80"
68,2025/01/28,"2,377.00",1.17,"2,443.00","2,311.10","2,311.10","2,608","6,187,869.90"
69,2025/01/27,"2,349.50",0.97,"2,407.40","2,303.50","2,326.90","6,014","14,313,678.00"
70,2025/01/26,"2,326.90",2.96,"2,333.00","2,230.20","2,230.20","4,416","10,212,314.40"
71,2025/01/23,"2,260.00",0.27,"2,293.40","2,250.90","2,260.00","2,455","5,577,106.00"
72,2025/01/22,"2,254.00",1.03,"2,300.00","2,206.00","2,206.00","4,032","9,183,805.10"
73,2025/01/21,"2,231.00",-0.93,"2,250.00","2,220.20","2,250.00",723,"1,612,408.40"
74,2025/01/20,"2,252.00",0.71,"2,277.00","2,218.10","2,277.00","1,300","2,904,677.00"
75,2025/01/19,"2,236.20",-1.27,"2,275.00","2,225.10","2,225.10","1,127","2,529,203.30"
76,2025/01/16,"2,265.00",0.53,"2,295.50","2,231.30","2,295.50","2,280","5,126,636.80"
77,2025/01/15,"2,253.10",-0.7,"2,290.00","2,225.00","2,225.10","1,583","3,573,403.40"
78,2025/01/13,"2,269.00",0.09,"2,298.00","2,229.60","2,267.00","1,741","3,919,688.50"
79,2025/01/12,"2,267.00",-1.33,"2,294.00","2,263.20","2,265.00","1,592","3,610,183.80"
80,2025/01/09,"2,297.50",0.15,"2,318.00","2,270.00","2,294.00","1,861","4,242,212.50"
81,2025/01/08,"2,294.00",1.33,"2,306.00","2,261.00","2,300.00","2,300","5,254,255.60"
82,2025/01/07,"2,264.00",-1.09,"2,295.00","2,250.00","2,250.00","2,311","5,263,824.70"
