#,Date,LTP,% Change,High,Low,Open,Qty.,Turnover
1,2024/06/30,809,-0.48,879.7,802,802,"24,459","19,869,915.20"
2,2024/06/27,812.9,0,816.9,803,805,"27,286","22,058,438.30"
3,2024/06/26,812.9,-0.56,833.8,800,833.8,"43,828","35,351,272.40"
4,2024/06/25,817.5,0.06,820.9,810,817,"20,410","16,670,080.00"
5,2024/06/24,817,0.12,820,802.6,815,"41,486","33,689,031.80"
6,2024/06/23,816,-0.11,870.1,800,821,"69,427","56,268,687.70"
7,2024/06/20,816.9,-0.62,838.4,809.1,838.4,"63,408","51,616,474.70"
8,2024/06/19,822,0.24,828.9,821,828,"10,020","8,261,408.20"
9,2024/06/18,820,-1.2,834.9,815,829,"43,044","35,380,128.50"
10,2024/06/16,830,-0.35,846,823,846,"36,497","30,212,108.50"
11,2024/06/13,832.9,-0.37,838.9,828,836,"28,220","23,428,600.70"
12,2024/06/12,836,0.24,848,831.6,842,"24,817","20,717,111.70"
13,2024/06/11,834,0.48,846.6,828,846.6,"31,882","26,476,420.80"
14,2024/06/10,830,-0.23,848.5,827,848.5,"26,458","21,950,243.60"
15,2024/06/09,831.9,-0.14,849.7,830,849.7,"13,075","10,887,824.10"
16,2024/06/06,833.1,0.3,844.9,830.7,844.9,"7,218","6,018,055.60"
17,2024/06/05,830.6,-1.12,856,830.3,856,"19,370","16,128,044.20"
18,2024/06/04,840,0.01,856.6,837.6,856.6,"5,148","4,324,766.60"
19,2024/06/03,839.9,-0.37,850,836.1,850,"8,088","6,793,264.10"
20,2024/06/02,843,1.31,845,835,835,"9,811","8,257,505.10"
21,2024/05/30,832.1,-1.18,855,825.8,826,"8,298","6,956,182.50"
22,2024/05/29,842,-0.63,898.6,840.2,864.2,"16,838","14,372,827.40"
23,2024/05/27,847.3,-0.2,850,842,849.5,"8,660","7,344,446.10"
24,2024/05/26,849,-0.12,854,845.2,851,"14,458","12,267,629.50"
25,2024/05/22,850,-0.7,873.1,843.1,873.1,"22,913","19,518,918.50"
26,2024/05/21,856,-0.12,858,850,850,"8,202","6,999,493.10"
27,2024/05/20,857,0.82,864.9,850,850,"28,542","24,472,279.80"
28,2024/05/19,850,2.41,853,829,846.6,"35,726","30,228,820.70"
29,2024/05/16,830,0.12,845.5,821,845.5,"11,964","9,930,894.30"
30,2024/05/15,829,-0.36,835.3,820,832,"16,617","13,787,025.20"
31,2024/05/14,832,1.09,833.9,817.3,823,"19,903","16,402,792.30"
