#,Date,LTP,% Change,High,Low,Open,Qty.,Turnover
1,2025/05/15,868.19,0.46,879.00,866.00,879.00,"12,215","10,602,114.70"
2,2025/05/14,864.23,-0.45,880.00,860.10,860.10,"22,012","19,084,274.00"
3,2025/05/13,868.18,-0.42,885.00,865.00,875.00,"22,571","19,621,452.70"
4,2025/05/11,871.84,-0.49,888.90,870.00,885.00,"20,086","17,604,038.50"
5,2025/05/08,876.14,-0.85,894.00,873.00,894.00,"11,604","10,224,596.60"
6,2025/05/07,883.69,2.51,884.00,858.00,862.60,"22,649","19,592,465.50"
7,2025/05/06,862.04,-1.34,885.00,860.00,885.00,"40,324","35,010,019.00"
8,2025/05/05,873.71,-0.24,883.90,872.00,876.00,"23,179","20,282,936.00"
9,2025/05/04,875.81,-0.04,893.50,875.00,893.50,"21,824","19,149,115.60"
10,2025/04/30,876.13,-1.56,900.00,874.90,900.00,"32,042","28,149,140.30"
11,2025/04/29,890.05,0,903.00,880.00,903.00,"67,116","59,825,568.20"
12,2025/04/28,890.01,-0.51,896.00,888.00,896.00,"21,672","19,311,258.00"
13,2025/04/27,894.57,0.36,900.00,892.00,894.80,"9,998","8,941,549.70"
14,2025/04/24,891.37,0.11,895.30,890.00,891.00,"13,876","12,361,187.10"
15,2025/04/23,890.39,-0.33,906.40,890.00,906.40,"14,084","12,571,289.10"
16,2025/04/22,893.38,-0.4,914.00,891.00,914.00,"11,526","10,324,419.20"
17,2025/04/21,896.99,-0.19,904.70,890.10,890.10,"8,776","7,883,310.50"
18,2025/04/20,898.67,-0.45,915.00,890.00,915.00,"33,331","29,814,962.70"
19,2025/04/17,902.74,1.13,910.50,887.10,910.50,"10,391","9,381,422.60"
20,2025/04/16,892.68,-1.25,904.90,881.10,903.00,"77,630","68,959,393.10"
21,2025/04/15,903.95,0.46,915.00,897.20,915.00,"11,190","10,140,051.40"
22,2025/04/13,899.84,0.35,900.00,892.20,892.20,"8,059","7,240,024.00"
23,2025/04/10,896.73,-0.4,908.90,895.00,908.70,"19,670","17,674,153.20"
24,2025/04/09,900.34,0.41,914.00,900.00,914.00,"12,518","11,307,031.70"
25,2025/04/08,896.64,-0.41,901.00,891.10,895.00,"23,207","20,815,024.90"
26,2025/04/07,900.35,-0.14,909.50,892.00,900.00,"12,613","11,343,017.40"
27,2025/04/03,901.57,-0.09,909.90,900.20,909.90,"14,483","13,081,411.20"
28,2025/04/02,902.39,0.08,909.60,900.10,901.70,"11,705","10,564,618.90"
29,2025/04/01,901.70,-0.29,909.80,900.00,903.00,"8,809","7,951,254.50"
30,2025/03/30,904.29,0.42,915.00,900.00,901.00,"23,704","21,521,342.50"
31,2025/03/27,900.47,0.78,907.00,890.10,906.80,"9,185","8,281,981.80"
32,2025/03/26,893.51,0.4,905.00,888.10,905.00,"13,062","11,682,097.60"
